Frame Number,Vehicle,License Plate,Average Score
44,motorcycle_7.0,23AA-08730,0.903773652182685
45,motorcycle_2.0,39K5-9379,0.39412341825664043
45,motorcycle_3.0,29H1-48853,0.6344226482841704
45,motorcycle_6.0,29H1-08390,0.7494946651988559
45,motorcycle_7.0,23AA-08730,0.8716065718068017
46,motorcycle_6.0,29H1-08390,0.758807533317142
46,motorcycle_7.0,23AA-08730,0.8759764035542806
47,motorcycle_2.0,39K5-9379,0.6193480910733342
47,motorcycle_6.0,29A-08390,0.8571338057518005
47,motorcycle_7.0,23AA-08730,0.88508250647121
48,motorcycle_7.0,23AA-08730,0.8809980948766073
49,motorcycle_3.0,29H1-48853,0.6046735809908973
49,motorcycle_6.0,29H1-08380,0.7744676123062769
49,motorcycle_7.0,23AA-08730,0.8710095816188388
51,motorcycle_2.0,39K5-9379,0.5730665102601051
51,motorcycle_3.0,29H1-4853,0.6277101757004857
51,motorcycle_6.0,29H1-08390,0.752748621834649
51,motorcycle_7.0,23AA-08700,0.825333489312066
52,motorcycle_6.0,29H1-08380,0.7570699966616101
53,motorcycle_6.0,29H1-08600,0.6529682179292043
53,motorcycle_7.0,23A1-08700,0.8033950494395362
54,motorcycle_6.0,29H1-08380,0.7233334961864684
54,motorcycle_7.0,23AA-08700,0.8294044236342112
55,motorcycle_6.0,29K1-08380,0.7658843820293745
55,motorcycle_7.0,23AA-08700,0.7969376461373435
56,motorcycle_3.0,29A1-48853,0.6348571843571134
56,motorcycle_7.0,23AA-0875,0.8342910185456276
57,motorcycle_6.0,29H-08380,0.7562271393835545
57,motorcycle_7.0,23A1-08750,0.7049730138646232
58,motorcycle_6.0,29H1-08380,0.7010968658659193
58,motorcycle_7.0,23A1-08730,0.7495566805203756
58,motorcycle_8.0,29K1-0764,0.6759974397718906
59,motorcycle_6.0,29H1-08380,0.7503764894273546
59,motorcycle_8.0,29K1-80764,0.6064441675941149
60,motorcycle_3.0,29H1-14853,0.5425706638230218
60,motorcycle_6.0,29H1-08300,0.6753586712810729
60,motorcycle_8.0,29K1-08754,0.532157732380761
60,motorcycle_2.0,39S1-9079,0.6328583620488644
61,motorcycle_3.0,29H1-1853,0.6217984221875668
61,motorcycle_6.0,29H1-08300,0.6836688096324602
61,motorcycle_7.0,23H1-08730,0.6707218736410141
61,motorcycle_8.0,29K1-30764,0.575299408700731
62,motorcycle_3.0,29M1-48853,0.569713891380363
62,motorcycle_6.0,29D1-08380,0.7053872620066007
62,motorcycle_8.0,29K1-30764,0.6662418577406142
63,motorcycle_3.0,29H1-4853,0.6736160218715668
63,motorcycle_6.0,29H1-08360,0.6977212793297238
63,motorcycle_8.0,29K1-80764,0.6540786772966385
64,motorcycle_3.0,23P1-4853,0.6607209406793118
64,motorcycle_6.0,29H1-08390,0.7238427400588989
65,motorcycle_3.0,23P1-4853,0.6200543120503426
65,motorcycle_6.0,29H1-08360,0.6279492891497083
65,motorcycle_7.0,23HH-87300,0.5353877834147878
65,motorcycle_8.0,29K1-30764,0.5989149179723527
65,motorcycle_2.0,39K5-3837,0.45469655748456717
66,motorcycle_7.0,29H-67350,0.4241671450436115
66,motorcycle_8.0,29K1-0764,0.5262488219887018
66,motorcycle_2.0,39K5-98379,0.5051423352625635
67,motorcycle_3.0,23P1-4653,0.5473824813961983
67,motorcycle_7.0,23H1-6730,0.6514153778553009
67,motorcycle_8.0,29K1-3076,0.5250786747783422
67,motorcycle_2.0,39K5-98379,0.43424662119812435
68,motorcycle_8.0,29K1-36076,0.5596076051394144
68,motorcycle_2.0,39K5-98379,0.5180267062452104
69,motorcycle_3.0,29M1-4853,0.5244007557630539
69,motorcycle_8.0,29K1-30676,0.5179122040669123
70,motorcycle_8.0,29K1-6076,0.4546133391559124
71,motorcycle_6.0,29A1-68390,0.619915732079082
71,motorcycle_8.0,29K1-36074,0.5003992683357663
72,motorcycle_7.0,29H1-67300,0.4067101577917735
72,motorcycle_8.0,26K1-30764,0.5362594442235099
72,motorcycle_2.0,39H1-9079,0.4637042284011841
74,motorcycle_6.0,29DB-00090,0.4797907653782103
74,motorcycle_8.0,29K1-30764,0.49662239518430495
76,motorcycle_6.0,29DD-04089,0.3887267882625262
77,motorcycle_6.0,26H-01006,0.34956226497888565
77,motorcycle_7.0,70HH-60711,0.2855900484654639
79,motorcycle_6.0,29H-04036,0.365833287127316
84,motorcycle_6.0,26H1-01060,0.343879575530688
85,motorcycle_9.0,17B4-12145,0.8975474370850457
86,motorcycle_9.0,17B4-12145,0.9087393018934462
87,motorcycle_9.0,17B4-12145,0.8828519185384115
88,motorcycle_9.0,17B4-12145,0.9100766777992249
89,motorcycle_9.0,17B4-12145,0.9159289532237582
90,motorcycle_9.0,17B4-12145,0.920816077126397
91,motorcycle_9.0,17B4-12145,0.8904191652933756
92,motorcycle_9.0,17B4-12145,0.9036513500743442
93,motorcycle_9.0,17B4-12145,0.9011606574058533
93,motorcycle_2.0,39H5-9079,0.5114926174283028
94,motorcycle_9.0,17B4-12145,0.8964418371518453
94,motorcycle_8.0,29K1-0764,0.5866755098104477
95,motorcycle_9.0,17B4-12145,0.9104623463418748
95,motorcycle_2.0,39H5-9807,0.38122546672821045
95,motorcycle_8.0,29K1-0764,0.5449765659868717
96,motorcycle_9.0,17B4-12145,0.9052651855680678
96,motorcycle_8.0,29K1-80764,0.6003752764728334
97,motorcycle_9.0,17B4-12145,0.9095116456349691
97,motorcycle_8.0,29K1-80764,0.7036687350935407
98,motorcycle_9.0,17B4-12145,0.8875183728006151
98,motorcycle_8.0,29K1-80764,0.6249975230958726
99,motorcycle_9.0,17B4-12145,0.870004223452674
99,motorcycle_8.0,29K1-0764,0.7347499802708626
100,motorcycle_9.0,17B4-12145,0.8431469715303845
100,motorcycle_8.0,29K1-80764,0.6587002939648099
101,motorcycle_9.0,17B4-12145,0.9074358410305448
101,motorcycle_8.0,29H1-80764,0.3953573919004864
102,motorcycle_9.0,17B4-12145,0.8797671132617526
102,motorcycle_8.0,29K1-80764,0.6792994406488206
102,motorcycle_10.0,29H2-7837,0.8741954937577248
103,motorcycle_9.0,17B4-12145,0.9024527072906494
103,motorcycle_8.0,29H1-0764,0.6315370053052902
103,motorcycle_10.0,29H2-7837,0.8485615327954292
104,motorcycle_9.0,17B4-12145,0.9141794310675727
104,motorcycle_10.0,29H2-7837,0.8003107458353043
105,motorcycle_9.0,17B4-12145,0.9137225813335843
105,motorcycle_8.0,29K1-80764,0.6280168973737292
105,motorcycle_10.0,29H2-7837,0.8293992169201374
106,motorcycle_9.0,17B4-12145,0.9127887686093649
